Gender tags,Character(s) tags,Series tags,Rating tags,General tags,Qulity tags,Type,description_zh,description_en
"1girl,","amiya \(arknights\),","arknights,","safe,","solo,cowboy shot,smile,looking at viewer,","masterpiece,high score,great score,absurdres,year 2025,",normal,"",""
"1girl,","exusiai \(arknights\),","arknights,","safe,","solo,cowboy shot,halo,front view,street,pedestrian street,holding cup,drinking,drinking straw in mouth,","masterpiece,high score,great score,absurdres,year 2025,",normal,"",""
"1girl,","muelsyse \(arknights\),","arknights,","safe,","solo,street,night,rain,umbrella,holding umbrella,smile,walking,front view,wet pavement,reflections,city lights,","masterpiece,high score,great score,absurdres,year 2025,",advance,"",""
"1girl,","nymph \(arknights\),","arknights,","safe,","solo, cowboy shot, simple background,","masterpiece,high score,great score,absurdres,year 2025,",advance,"《明日方舟》角色妮芙，2024年7月9日上线，danbooru 上 400 张图 | 观察模型能否正确绘制角色特征，训练数据集是否包含这名角色","Arknights character Nymph, released on July 9, 2024, with 400 images on danbooru | Observing whether the model can accurately depict character features and if the training dataset includes this character"
"1girl,","narantuya \(arknights\),","arknights,","safe,","solo, cowboy shot, simple background,","masterpiece,high score,great score,absurdres,year 2025,",advance,"《明日方舟》角色娜仁图亚，2024年8月1日上线，danbooru 上 180 张图（训练图片量少） | 观察模型能否正确绘制角色特征，训练数据集是否包含这名角色","Arknights character Narantuya, released on August 1, 2024, with 180 images on danbooru (few training images) | Observing whether the model can accurately depict character features and if the training dataset includes this character"
"1girl,","raidian \(arknights\),","arknights,","safe,","solo, cowboy shot, simple background,","masterpiece,high score,great score,absurdres,year 2025,",advance,"《明日方舟》角色电弧，2025年8月2日上线，danbooru 上 690 张图（角色较新） | 观察模型能否正确绘制角色特征，训练数据集是否包含这名角色","Arknights character Raidian, released on August 2, 2025, with 690 images on danbooru (new character) | Observing whether the model can accurately depict character features and if the training dataset includes this character"
"2girls,","texas \(arknights\),lappland \(arknights\),","arknights,","safe,","shopping mall,indoor,cowboy shot,holding hands,front view,","masterpiece,high score,great score,absurdres,year 2025,",advance,"双人图 | 观察双人结构，以及人物特征是否正确","Dual character diagram | Observe the dual structure, and whether the character features are correct"
"1girl,","ho'olheyak \(arknights\),","arknights,","nsfw,","solo, cowboy shot,nipples, pussy, large breasts, white thighhighs, one hand in pocket, people, open clothes, tongue out, v sign, hand pocket, trench coat, upturned collar, city street, wet ground, rain, dusk, streetlamp, flickering light, standing, looking at viewer, dynamic pose,","masterpiece,high score,great score,absurdres,year 2025,",nsfw,"NSFW 图片","NSFW image"
"1girl, 1boy","la pluma \(arknights\),","arknights,","nsfw,","penis, grabbing, lying on the desk, grabbing breasts, pov, classroom, from above, lifted shirt, nipples, vaginal, school, chalkboard, facing viewer, looking at viewer, pussy, spread legs, smile,","masterpiece,high score,great score,absurdres,year 2025,",nsfw,"NSFW 图片","NSFW image"
"1girl","specter \(arknights\),","arknights,","nsfw,","from behind, looking back, ass focus, ass, pussy, no pants, no panties, anus, anal beads, anal object insertion, anal, large beads, anal fluid, pov hands, sex toy pull, anal, anal fluid, pussy juice, all fours, orgasm, blush, ahegao,","masterpiece,high score,great score,absurdres,year 2025,",nsfw,"NSFW 图片","NSFW image"
